User1_ID,User2_ID,h1,h2,P1,P2,R1,R2,R_sum,Mode,Cluster_ID
13,33,3.8083791050333454e-10,3.351935228066219e-09,0.8979745362587781,0.10202546374122175,0.4105494489819834,0.4243661228693157,0.834915571851299,NOMA,0
12,10,6.691830129566986e-10,6.040135214552513e-09,0.9002606538749425,0.09973934612505751,0.6459283151892727,0.6802695620264929,1.3261978772157657,NOMA,1
1,46,1.8684954866337308e-08,1.5540309510864133e-07,0.8926695148287154,0.10733048517128467,2.7114331500702185,4.144004719774833,6.855437869845051,NOMA,2
20,23,1.8866641802220858e-10,1.4854641005064186e-09,0.887304833204985,0.112695166795015,0.21899116186834022,0.2233046884583632,0.44229585032670343,NOMA,3
26,42,4.658895012714509e-10,4.537947825411919e-09,0.90689355571432,0.09310644428567996,0.49051538549200224,0.5084410118653215,0.9989563973573238,NOMA,4
3,19,3.357136509009497e-08,2.9255959075586474e-07,0.8970617033178795,0.10293829668212058,2.9558279419350995,4.95956550935355,7.915393451288649,NOMA,5
9,14,1.8456673048949243e-09,7.323298687543658e-08,0.9754168834664803,0.02458311653351982,1.4447502282342821,1.4855788433862038,2.930329071620486,NOMA,6
22,29,1.6489732685976969e-09,1.6872296515670974e-08,0.9109686707334571,0.08903132926654295,1.2078065406017637,1.3231757672243578,2.5309823078261218,NOMA,7
32,18,1.8014548028211192e-09,1.7629173525054886e-08,0.9072878770350069,0.09271212296499313,1.2633510119300995,1.397495283852325,2.6608462957824246,NOMA,8
36,43,3.6467911451367256e-10,2.8695902850673235e-09,0.8872452880514785,0.11275471194852142,0.39042638313008543,0.40442340732082005,0.7948497904509055,NOMA,9
6,8,1.7565605597660594e-07,1.4957329623774023e-05,0.9883925049759579,0.01160749502404211,5.861237474740289,7.448051277792716,13.309288752533005,NOMA,10
4,2,1.4997744484338132e-07,5.634560605956592e-06,0.9740727014800015,0.02592729851999853,4.94879442593987,7.200544910034824,12.149339335974695,NOMA,11
11,41,4.170500371829342e-10,4.529537151085591e-09,0.915689338667269,0.0843106613327311,0.4530344669856539,0.4666409768831586,0.9196754438688125,NOMA,12
21,15,1.085658335667589e-09,1.2326375110081458e-08,0.9190534127387157,0.08094658726128431,0.9389829663751039,0.9983962736655988,1.9373792400407028,NOMA,13
5,0,1.409345227635101e-07,1.9557660213833123e-06,0.932782712745058,0.06721728725494196,3.760446320313651,7.049426964627285,10.809873284940936,NOMA,14
48,38,9.242828766725441e-10,8.98339601530456e-09,0.9067104528971972,0.0932895471028029,0.824996686619674,0.8781814641377865,1.7031781507574606,NOMA,15
7,27,2.40104682357954e-08,2.158345406308076e-07,0.899891732793366,0.10010826720663403,2.8773790096980343,4.49868628288142,7.3760652925794545,NOMA,16
24,49,2.7290119383732445e-10,1.7947801352104084e-09,0.8680158349338055,0.13198416506619454,0.2970704826585229,0.30670852248217423,0.6037790051406972,NOMA,17
39,37,1.6428221507714458e-09,1.380083073292243e-08,0.8936247684959293,0.10637523150407076,1.1697187132408284,1.3033813047357194,2.473100017976548,NOMA,18
31,45,1.1242860287497481e-10,8.088971854317951e-10,0.877970849940499,0.12202915005950092,0.1340541414372798,0.13580937731219386,0.2698635187494737,NOMA,19
34,44,6.879063956247442e-10,7.541752905481484e-09,0.9164113154073976,0.08358868459260227,0.6745756125028348,0.7052305622710272,1.379806174773862,NOMA,20
47,35,6.272419677119019e-10,5.614937891504755e-09,0.8995155567672771,0.1004844432327228,0.6142491138714081,0.6454378161240498,1.2596869299954578,NOMA,21
28,25,7.951100170413713e-11,5.389581667545808e-10,0.8714390211200247,0.1285609788799753,0.0957055636883141,0.0966518131746249,0.192357376862939,NOMA,22
16,17,6.900092384441952e-10,8.343834460070035e-09,0.9236195287994989,0.07638047120050118,0.6829323517912943,0.7113239824738389,1.3942563342651333,NOMA,23
30,40,9.654101431106504e-10,9.480781571553451e-09,0.9075825746376612,0.09241742536233868,0.8515340748604513,0.9078054921444145,1.759339567004866,NOMA,24
