User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,height_m,distance_3D_m,LOS_status,LOS_probability,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
0,-459.92920049543386,2419.050408596142,2462.3849716885316,1.7586818043870458,9.488993800037699,2462.4338245140448,False,0.007309986134157115,152.16249192792543,6.077861610398223e-16,17.338666194088308,1.4096815217619938,4.721316347435541e-09,-119.99990319324274
1,-3353.9407577814945,-1046.6876773155168,3513.4703215698373,3.4440920838760425,22.408065070718138,3513.4712776225642,False,0.005123156938283672,150.44390065206997,9.02838217791912e-16,1.3149365194338019,1.139072117109973,2.941774387660555e-08,-119.99624322501009
2,-3837.008246006058,916.9719067548036,3945.0563693939816,2.907011437356417,1.9206152514772876,3945.123878371425,False,0.004562672447381294,164.70304173370664,3.386069178403116e-17,-10.962450062906901,1.935432007835163,3.9787654268408754e-08,-119.99313030505397
3,2039.6507991112755,4014.732655717035,4503.138203430583,1.100736232649418,14.484308036172292,4503.150481493318,False,0.003997212432222091,159.41019932196588,1.1454603686725805e-16,6.8243059345893275,2.2875327466598945,1.1159431147881804e-08,-119.99945919414512
4,1624.110343202089,3037.664587748491,3444.581332260456,1.079808593463731,19.934242349433685,3444.585057225005,False,0.005225615178799624,151.59212604774467,6.930864290184472e-16,-1.1131340078755272,1.570632960145126,4.700294881089231e-08,-119.99041581421139
5,3916.4805099298,1387.3526420043854,4154.944877845738,0.3404422391665749,5.088819612897115,4154.992586400239,False,0.004332187436703773,163.68179461530895,4.2837146982747096e-17,-1.6090865730020087,1.439922947744638,1.1342371059946375e-08,-119.99944131877241
6,-467.6805575704019,-2225.6106663339638,2274.218094648988,4.505266691246855,4.823398760960794,2274.3075951300943,False,0.007914808189396043,153.61298843299545,4.352122957673948e-16,-3.3054448517264947,0.5017545786690452,1.5314899992984502e-08,-119.99898149839996
7,-561.0580465914322,903.0578082203502,1063.1554621186576,2.126721139065713,4.269639580925126,1063.3575525080175,False,0.01693077790371784,141.0422049640394,7.866462987351477e-15,14.307838418326861,1.0040967030123717,1.7150365183921345e-08,-119.998722775642
8,-4269.311355221881,-1100.351246837887,4408.831173252633,3.3938380258127636,14.625008385934654,4408.84338060394,False,0.004082714741019573,158.96656400821738,1.2686551861966536e-16,-2.7548652305353083,1.597347933709569,2.470669109988075e-08,-119.99734978587284
9,2516.9052252262372,-122.53887702211739,2519.886443701973,6.234537391120555,18.052283405324808,2519.8960216482856,False,0.007145775344644309,147.41602366773677,1.8129992866918994e-15,12.347525606774267,2.384974849703657,2.4507913560550134e-08,-119.99739224614015
10,-1570.1331415777145,-1261.66707038317,2014.229847552149,3.8184892926853506,6.393147401443015,2014.3157879869725,False,0.008936418066637737,150.61077736193383,8.688049043288179e-16,-5.276212247544519,0.7662344272162159,4.1460392137594594e-08,-119.9925410427023
11,-3594.359160010533,3137.4014156442313,4771.027710466378,2.4239713837432544,14.98409719577413,4771.038223735693,False,0.003772772051570845,160.09109454421866,9.7924315749406e-17,5.659992514263102,0.9745764631018411,5.026452301162126e-09,-119.99989027591792
12,-2779.325869096449,-261.79236030133603,2791.628113940121,3.235508314038807,12.654940165169632,2791.6554097959875,False,0.006447850238402526,152.39267631390638,5.764111439836382e-16,7.962899581292198,3.1783911843402857,3.050904073121453e-08,-119.99595946033865
13,2398.5875266108874,167.4484339525668,2404.4253161299275,0.0696981863294416,15.05298191509712,2404.445891263782,False,0.007487518421661732,148.41963826316626,1.4389184250740727e-15,-6.727080599209105,0.9746861545116251,8.02115509310691e-08,-119.97214746250162
14,763.1901375826466,-105.65437108713664,770.4687094446065,6.145621853113586,2.5100089661776,770.7968811106716,False,0.023367171709904204,136.63696870223592,2.1692176516453417e-14,-3.5299744920557523,0.7455275112987003,1.6485949448615575e-07,-119.88354014795485
15,2446.1333664198264,-633.2490581722982,2526.77122351599,6.029868895283697,14.079358937939485,2526.7948227724587,False,0.007123961978321762,149.84618027948602,1.0360529986702156e-15,7.006694431180214,2.1364754091181384,3.069404764437463e-08,-119.99591033120616
16,2629.884160130706,-1081.9888024238035,2843.7634332477246,5.892872427693039,8.50763349032026,2843.8112564707903,False,0.0063296404298451335,155.19522284234915,3.023275438195885e-16,5.836194464699264,0.1264484176767085,1.122903754118578e-09,-119.99999452392856
17,-813.3772385344117,609.0604346496992,1016.1383494492991,2.498857184118477,12.047220500315769,1016.2209010438199,False,0.017714220433972503,135.60612443302648,2.7503474195984473e-14,-3.5634753239023333,0.5365435260287336,1.3411350215572465e-07,-119.92258010585817
18,-1537.70676869338,-4399.162620365587,4660.168866780179,4.376119265817026,2.1704082385091557,4660.224786120006,False,0.0038625209760771236,167.38045624397063,1.8279081768866756e-17,-12.081653231261509,0.13334842577367062,2.291119503934012e-09,-119.99997720294976
19,-1140.4920617617722,-519.7009864716604,1253.320094102554,3.5691611540926007,2.993998537863787,1253.5132717213594,False,0.014361856093816357,144.5998406012704,3.467495769388363e-15,13.492299009416108,2.0867886494675236,2.599390248053519e-08,-119.99706653709666
